id,category,question,expected_points
Q1,マニュアル,お客様都合の返品希望への案内方法は？,原則不可。受取り不承時は管理者判断。消費者センター経由なら受付可。
Q2,マニュアル,ブラック顧客対応でお客様に伝えてはいけないことは？,エラー内容（O-PLUXのNG判定等）は伝えない。
Q3,マニュアル,LINEメニューから定期コースの解約や変更はできますか？,不可。問い合わせフォームへ案内する。
Q4,マニュアル,LINE配信の標準的な時間帯は？,毎月20日の朝8時30分。
Q5,マニュアル,クレーム対応の一次報告は誰にしますか？,現場管理者（SV）に報告。エスカレーションシートを使用。
Q6,施策,シロッシュのステップLINEで7日後に案内される特典は何ですか？,ティースシャインのクロス。送料無料。
Q7,施策,引き上げステップメール廃止の対象商品を教えてください。,SARAFINE・Daily1・SIROSHUなど複数商品が対象。
Q8,施策,2025年冬のキャンペーン（冬CP）の内容を教えてください。,冬CPの詳細内容。ばぶりーキッズ・シロッシュ等のポイント付与やレコメンド初回特典など。
Q9,施策,OPマニュアルで更新された「延長・スキップ可能期間」の周知内容は？,チャットワークで共有済み。配送サイクルの変更可能期間に関する内容。
Q10,施策,引き上げステップメール廃止施策（No.23）のステータスを教えてください。,運用終了。
Q11,料金表,商品コード「siroshu-pre」の初回金額はいくらですか？,0円（初回無料・プレゼント）。
Q12,料金表,シロッシュ通常単品（siroshu）の価格と特典を教えてください。,税込4980円。特典はティースシャイン1本付属。
Q13,料金表,商品コード「siroshu1980」コースの解約期限はいつですか？,次回お届けの10日前まで。
Q14,料金表,商品コード「siroshu-upsell-5900-4kaiskihon」の配送サイクルは？,60日毎。
Q15,共通,マニュアルに記載がない質問をされた場合はどう答えるべきですか？,「記載がない」と伝えSVへの確認を促す。推測で回答しない。
